Time (seconds),f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45
69,44.003868103027344,40.11455535888672,29.487125396728516,35.65300369262695,35.263057708740234,42.20871353149414,38.54905700683594,45.83671569824219,48.13633346557617,50.537471771240234,54.709754943847656,47.24291229248047,51.01596450805664,54.166561126708984,55.044105529785156,55.66226577758789,41.77119827270508,42.302978515625,48.536094665527344,48.0054817199707,55.47690963745117,64.39209747314453,69.97305297851562,68.98978424072266,75.24056243896484,61.82061004638672,67.30261993408203,72.92814636230469,71.7906265258789,73.86936950683594,73.86134338378906,77.13317108154297,69.59982299804688,77.93157196044922,66.40174102783203,56.367591857910156,70.20611572265625,80,80,72.61677551269531,43.44465637207031,39.507991790771484,42.65217590332031,49.0484619140625,48.9874267578125,37.894287109375
69.01000213623047,35.43949508666992,27.798032760620117,30.72901725769043,40.75909423828125,39.958988189697266,27.859493255615234,30.536901473999023,40.346435546875,43.143653869628906,55.47355270385742,55.676414489746094,43.95944595336914,51.33842086791992,60.698486328125,63.665958404541016,50.493412017822266,37.57053756713867,45.37016296386719,60.43840789794922,51.58995056152344,58.476097106933594,58.292030334472656,68.8214340209961,63.47572708129883,70.11534118652344,56.86216735839844,59.89018249511719,64.25863647460938,68.93106079101562,76.30790710449219,74.11502838134766,79.2788314819336,63.77109909057617,74.1518325805664,74.61088562011719,63.281951904296875,70.17009735107422,79.46739959716797,77.2591781616211,76.55632019042969,43.64397430419922,39.44813537597656,42.7371711730957,39.0234375,44.9896240234375,35.0408935546875
69.0199966430664,36.28652572631836,38.04765319824219,33.616336822509766,42.19514846801758,46.79330825805664,27.598779678344727,36.20697784423828,29.3326358795166,37.00198745727539,49.568115234375,57.05620574951172,49.03567886352539,43.5394287109375,55.56653594970703,53.991981506347656,50.1854248046875,46.50891876220703,48.674652099609375,59.94449996948242,55.22343063354492,53.59977722167969,60.98404312133789,63.09881591796875,61.4610481262207,67.48579406738281,60.81999206542969,58.855472564697266,65.01528930664062,73.11996459960938,75.83993530273438,66.82984924316406,61.660709381103516,62.94009780883789,63.107093811035156,67.23963928222656,71.45604705810547,67.19679260253906,78.00373840332031,73.94043731689453,74.81971740722656,43.9630012512207,39.088409423828125,43.186683654785156,28.09814453125,39.6490478515625,29.6240234375
69.02999877929688,40.464263916015625,36.8020133972168,45.3191032409668,43.76308059692383,46.85028839111328,37.02701187133789,48.58196258544922,30.139062881469727,35.81721496582031,44.257041931152344,52.79481506347656,48.17739486694336,48.540016174316406,57.10601806640625,54.51990509033203,49.17343521118164,43.778472900390625,46.80717849731445,57.107357025146484,59.08929443359375,52.451419830322266,62.638832092285156,57.250484466552734,57.49540710449219,64.19046783447266,58.7532958984375,62.68983459472656,65.72769165039062,68.42756652832031,74.98372650146484,70.48487854003906,69.6803207397461,68.37487030029297,59.161434173583984,66.33009338378906,76.04586791992188,66.15141296386719,80,80,76.11083221435547,44.28801727294922,39.22128677368164,43.48954772949219,18.2257080078125,28.7542724609375,22.421875
69.04000091552734,31.726394653320312,35.960609436035156,44.10858154296875,39.14349365234375,34.51261901855469,36.343544006347656,43.8221321105957,42.08917999267578,45.92250061035156,54.175113677978516,58.11922073364258,54.915103912353516,56.39186477661133,56.645835876464844,49.029296875,43.741424560546875,45.23788833618164,41.86305236816406,52.3296012878418,55.53384780883789,47.31858825683594,60.14080047607422,61.82756042480469,62.042152404785156,64.15879821777344,59.46006393432617,60.646949768066406,63.19942855834961,68.77921295166016,78.11095428466797,71.25820922851562,70.21464538574219,70.17025756835938,62.93162536621094,68.94193267822266,66.63766479492188,69.06741333007812,75.91730499267578,80,73.4952392578125,44.17428970336914,39.15664291381836,43.10947036743164,16.7303466796875,22.696533203125,21.0333251953125
69.05000305175781,35.12748336791992,40.2726936340332,38.847694396972656,44.213748931884766,44.47972869873047,36.48001480102539,41.44123458862305,42.472015380859375,35.413204193115234,44.503475189208984,58.651390075683594,61.19935607910156,54.31232833862305,44.700927734375,41.78388595581055,46.19609069824219,44.81494140625,38.87104797363281,56.62030792236328,63.6353759765625,48.2049560546875,50.30561447143555,60.185638427734375,59.33155822753906,59.691463470458984,58.893646240234375,60.68064880371094,61.78532409667969,67.21721649169922,74.24519348144531,69.36257934570312,63.164024353027344,71.54186248779297,69.36212921142578,74.30818176269531,62.43534469604492,65.10858154296875,79.46601104736328,80,72.111083984375,43.98275375366211,39.27814865112305,42.90596389770508,17.5543212890625,29.837646484375,29.837646484375
69.05999755859375,31.971115112304688,32.12525939941406,41.116661071777344,41.58085250854492,34.180747985839844,38.87984848022461,43.00431823730469,33.63688278198242,33.54346466064453,40.72343826293945,50.389617919921875,56.2568359375,44.596805572509766,50.184288024902344,54.67774200439453,54.988616943359375,51.185523986816406,48.242828369140625,61.383338928222656,57.53461456298828,39.98271942138672,57.78501892089844,62.44184875488281,54.968597412109375,64.75468444824219,58.69160461425781,57.6451530456543,67.80317687988281,74.86668395996094,69.8456039428711,70.01656341552734,75.06958770751953,72.62519073486328,72.10198974609375,72.43022155761719,68.45172119140625,63.71505355834961,80,80,76.89871215820312,44.00011444091797,39.55348205566406,42.32177734375,19.30908203125,32.5689697265625,39.359130859375
69.06999969482422,31.67947769165039,34.84005355834961,41.28578186035156,40.52360916137695,42.00263214111328,37.849918365478516,38.81247329711914,31.105945587158203,41.36170196533203,41.42170333862305,46.15571594238281,60.02738952636719,56.43442153930664,56.29130935668945,58.27123260498047,59.53864288330078,50.69499588012695,53.770729064941406,65.50904846191406,56.60673141479492,43.81036376953125,57.14958190917969,65.98146057128906,56.38146209716797,60.28739929199219,63.467811584472656,62.81061553955078,71.8696517944336,76.80281066894531,70.96685791015625,64.7713394165039,72.22124481201172,68.83426666259766,67.52510833740234,66.49540710449219,65.09916687011719,72.86515045166016,76.33766174316406,77.28531646728516,76.14324951171875,43.28364562988281,39.821632385253906,41.86448287963867,25.321044921875,33.8812255859375,41.4495849609375
69.08000183105469,31.140268325805664,25.36960220336914,33.001338958740234,34.150733947753906,33.775543212890625,43.39271926879883,41.31443786621094,39.00920867919922,37.49690246582031,51.383270263671875,54.370086669921875,52.325462341308594,52.187198638916016,63.237548828125,60.08817672729492,43.190223693847656,44.59027862548828,45.42070770263672,62.0319709777832,58.6383056640625,47.343868255615234,59.6086540222168,62.61728286743164,60.92572021484375,63.71015548706055,56.49585723876953,65.45746612548828,71.87999725341797,69.77127838134766,62.56249237060547,67.95634460449219,76.77723693847656,76.9642562866211,72.59842681884766,69.59170532226562,67.01566314697266,71.7829360961914,76.85102081298828,76.78729248046875,80,43.169921875,39.83719253540039,41.682525634765625,31.76025390625,35.6817626953125,37.4365234375
69.08999633789062,40.188621520996094,33.47702407836914,32.198974609375,26.931106567382812,28.612403869628906,43.64463806152344,44.76297378540039,50.446170806884766,42.36838912963867,54.879947662353516,53.75796890258789,49.7700309753418,55.196224212646484,58.88450622558594,53.649410247802734,51.521827697753906,46.34468460083008,51.81474685668945,58.84334945678711,52.86531448364258,46.73280334472656,50.39617156982422,58.06584167480469,62.94061279296875,68.50346374511719,51.594688415527344,63.36122512817383,76.43197631835938,73.28141784667969,71.74248504638672,70.77729797363281,71.13021087646484,77.28104400634766,71.7244873046875,71.01834106445312,74.13322448730469,71.7078857421875,80,79.40123748779297,77.483642578125,43.04781723022461,39.724666595458984,42.32896041870117,37.37548828125,34.8883056640625,35.7427978515625
69.0999984741211,47.43018341064453,41.59572219848633,30.289196014404297,24.58367919921875,24.62032127380371,40.98077392578125,47.47163772583008,46.366939544677734,40.97420120239258,50.56328582763672,51.51234436035156,46.606143951416016,60.091243743896484,63.880924224853516,59.191009521484375,58.504478454589844,55.17824172973633,53.682891845703125,58.509300231933594,59.01511764526367,42.19083786010742,51.4002571105957,51.72456741333008,58.22303771972656,67.5785903930664,60.076377868652344,58.60327911376953,73.2408218383789,78.14264678955078,69.09004974365234,77.34699249267578,78.7469482421875,74.61343383789062,70.6026840209961,66.77344512939453,62.869754791259766,67.68275451660156,80,80,76.31317901611328,42.7174186706543,39.80726623535156,42.35409927368164,46.2255859375,40.79345703125,40.091552734375
69.11000061035156,40.860477447509766,43.730682373046875,42.944671630859375,41.603668212890625,32.93986129760742,42.74878692626953,55.718116760253906,42.798194885253906,35.10292434692383,48.608070373535156,55.36112976074219,39.853675842285156,53.2706298828125,55.65375518798828,56.66195297241211,63.697021484375,54.07701110839844,49.53008270263672,60.80634307861328,54.65734100341797,47.632137298583984,63.16300964355469,61.514434814453125,53.18153762817383,68.23407745361328,63.58381652832031,58.75109100341797,69.36235046386719,73.41511535644531,63.10070037841797,75.3115463256836,75.48848724365234,76.0473861694336,69.21835327148438,66.89762878417969,63.505943298339844,70.78977966308594,78.23783111572266,80,80,42.546234130859375,39.31047058105469,42.87364196777344,55.4571533203125,48.6822509765625,42.5634765625
69.12000274658203,27.5922794342041,25.353315353393555,35.06637191772461,45.75334930419922,26.468372344970703,26.368371963500977,38.269371032714844,39.61579895019531,42.67530059814453,63.65477752685547,54.746498107910156,52.04972839355469,51.63673400878906,54.83710479736328,44.96872329711914,54.623722076416016,51.09346008300781,51.44309997558594,62.92220687866211,53.05244064331055,54.62550354003906,66.64602661132812,68.51863098144531,59.79536056518555,62.405853271484375,58.775638580322266,70.27957916259766,72.70532989501953,76.80449676513672,76.66787719726562,75.21432495117188,79.40663146972656,74.41856384277344,71.83690643310547,65.97317504882812,62.41841125488281,68.34697723388672,73.94953918457031,79.93294525146484,76.33624267578125,42.73836898803711,39.25181198120117,43.400962829589844,61.881103515625,47.26318359375,37.2991943359375
